Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

quest_WhiteRiverCitizen0_name,Quest,Quest Info,,,"Backpacker Challenge Startpoint",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_subtitle,Quest,Quest Info,,,"Backpacker Challenge Startpoint",,,,,,,,,,,,,
quest_WhiteRiverCitizen0_description,Quest,Quest Info,,,"Welcome to the Backpacker Challenge!\n\nCrafting is restricted to backpack recipes only. Complete the Basics of Survival to be directed to the first Trader.",,"Willkommen bei der Backpacker-Herausforderung!\n\nDas Herstellen ist nur auf Rucksackrezepte beschränkt. Schließen Sie die Überlebensgrundlagen ab, um zum ersten Händler weitergeleitet zu werden.",,,,,,,,,,,
quest_WhiteRiverCitizen0_description_title,Journal Tip,,,,Backpacker Challenge Startpoint,,Startpunkt der Backpacker Challenge,,,,,,,,,,,

quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good Job Backpacker!\n\nWe have marked your map with the nearest Trader at a White River Outpost location. With crafting limited to backpack recipes only, not all regular challenges can be completed, and Traders become a truly essential contact.\n\nAccept these 5 Skill Points to get you started.",,"Gute Arbeit, Backpacker!\n\nWir haben Ihre Karte mit dem nächsten Händler an einem White River-Außenposten markiert. Da das Herstellen nur auf Rucksackrezepte beschränkt ist, können nicht alle regulären Herausforderungen abgeschlossen werden, und Händler werden zu einem wirklich wichtigen Kontakt.\n\nAkzeptieren Sie diese 5 Fertigkeitspunkte, um loszulegen.",,,,,,,,,,,
workbench,blocks,Workstation,,,Backpacker Workbench,,Backpacker-Werkbank,,,,,,,,,,,
workbenchDesc,blocks,Workstation,,,"This is a Backpacker Workbench and can only craft items that you can craft in your backpack.\n\nRepair with Forged Iron, Mechanical Parts, and Wood.",,"Dies ist eine Backpacker-Werkbank und kann nur Gegenstände herstellen, die Sie in Ihrem Rucksack herstellen können.\n\nReparatur mit geschmiedetem Eisen, mechanischen Teilen und Holz.",,,,,,,,,,,
workbenchTip,Journal Tip,,,,"The Backpacker Workbench has all of the backpack recipes. Queue up a craft action and walk away keeping your main crafting queue open for use. Inside your land claim area all workstations can be picked up by holding ''E'' and selecting ''TAKE'' from the radial menu.",,"Die Backpacker Workbench enthält alle Rucksackrezepte. Stellen Sie eine Handwerksaktion in die Warteschlange und gehen Sie weg, während Sie Ihre Haupt-Herstellungswarteschlange offen halten. Innerhalb Ihres Landanspruchsgebiets können alle Arbeitsplätze abgeholt werden, indem Sie „E“ gedrückt halten und „NEHMEN“ aus dem Radialmenü auswählen.",,,,,,,,,,,,,
workbenchTip_title,Journal Tip,,,,Backpacker Workbench,,Backpacker-Werkbank,,,,,,,,,,,
workstationsT2-1,progression,Attribute,,,Tier 2: Backpacker Workbench,,Stufe 2: Backpacker-Werkbank,,,,,,,,,,,

challengeCraftConcreteMix,Challenges,Challenge,,,Gather Concrete Mix,,Sammel fertigen,,,,,,,,,,,
challengeCraftConcreteMixShort,Challenges,Challenge,,,Gather 100 Concrete Mix.,,Sammel 100 Betonmischungen.,,,,,,,,,,,
challengeCraftForgedIron,Challenges,Challenge,,,Gather Forged Iron,,Sammel Eisen fertigen,,,,,,,,,,,
challengeCraftForgedIronShort,Challenges,Challenge,,,Gather some Forged Iron.,,Sammel geschmiedetes Eisen.,,,,,,,,,,,
challengeCraftGasCan,Challenges,Challenge,,,Gather Gas Cans,,Sammel Benzinkanister,,,,,,,,,,,
challengeCraftGasCanShort,Challenges,Challenge,,,Gather some Gas Cans.,,Sammel einige Benzinkanister.,,,,,,,,,,,
challengeCraftPipeBomb,Challenges,Challenge,,,Gather Pipe Bombs,,Sammel Rohrbomben fertigen,,,,,,,,,,,
challengeCraftPipeBombShort,Challenges,Challenge,,,Gather 20 Pipe Bombs.,,Sammel 20 Rohrbomben.,,,,,,,,,,,
challengePlaceWorkbench,Challenges,Challenge,,,Place Backpacker Workbench,,Backpacker-Werkbank platzieren,,,,,,,,,,,
challengePlaceWorkbenchDesc,Challenges,Challenge,,,"[DECEA3]Backpacker Workbenches[-] are used to craft [DECEA3]Basic Weapons[-], [DECEA3]Primitive Armor[-], and other basic recipes. \n\nYou can queue crafting in the [DECEA3]Backpacker Workbench[-] and your [DECEA3]Inventory[-] at the same time.\n\nFor recipes at the [DECEA3]Backpacker Workbench[-], crafting materials must be in your [DECEA3]Inventory[-].\n\nHold [action:local:Activate][action:permanent:Activate] to pick up Workstations within your [DECEA3]Land Claim[-] area.",,"An [DECEA3]BackpackerWerkbänken[-] werden [DECEA3]Basiswaffen[-], [DECEA3]Primitive Rüstung[-], und Basic Rezepte hergestellt. \n\nDu kannst gleichzeitig Warteschlangen für Fertigung an der [DECEA3]Backpacker-Werkbank[-] und in deinem [DECEA3]Inventar[-] beginnen.\n\nFür Rezepte an der [DECEA3]Backpacker-Werkbank[-] müssen sich die Fertigungsmaterialien in deinem [DECEA3]Inventar[-] befinden.\n\nHalte [action:local:Activate][action:permanent:Activate], um Arbeitsstationen innerhalb deines [DECEA3]Gebietsschutzbereich[-] aufzuheben.",,,,,,,,,,,
challengePlaceWorkbenchShort,Challenges,Challenge,,,Craft a Backpacker Workbench for basic crafting.,,Fertige eine Backpacker-Werkbank für fortgeschrittene Fertigung.,,,,,,,,,,,
